Chunk:1000			
Rank	Comsynctime	Worktime	Totaltime
0	0,100333	0,919251	1,019583
1	0,101041	0,918284	1,019325
2	0,103477	0,915876	1,019353
3	0,099932	0,919576	1,019508
4	0,100879	0,918611	1,01949
Chunk:10000			
Rank	Comsynctime	Worktime	Totaltime
0	0,019088	0,878814	0,897903
1	0,018778	0,879122	0,8979
2	0,016675	0,881226	0,897901
3	0,015778	0,882125	0,897903
4	0,015041	0,882861	0,897902
Chunk:100000			
Rank	Comsynctime	Worktime	Totaltime
0	0,044286	0,85781		0,902096
1	0,030741	0,871356	0,902097
2	0,020841	0,881267	0,902108
3	0,00949		0,892607	0,902098
4	0,000493	0,901606	0,9021
Chunk:1000000			
Rank	Comsynctime	Worktime	Totaltime
0	0,391544	0,661375	1,052919
1	0,247767	0,805154	1,05292
2	0,151103	0,901815	1,052918
3	0,069793	0,983128	1,05292
4	0,000023	1,052887	1,05291
Chunk:2000000			
Rank	Comsynctime	Worktime	Totaltime
0	0,723862	0,462663	1,186524
1	0,433204	0,75332		1,186525
2	0,255669	0,930854	1,186523
3	0,116344	1,070181	1,186525
4	0,000012	1,186503	1,186514
