132
334	648	1	0	0
537	791	1	1	1
1806	2168	2	2	2
2479	2706	1	3	3
7235	9016	2	4	4
10091	10399	1	5	5
11565	11951	2	6	6
12046	12426	1	7	7
13363	13743	2	8	8
21525	21851	1	9	9
22396	22686	2	10	10
24000	27968	2	11	11
31567	32940	1	12	12
33448	34701	1	13	13
35155	36303	1	14	14
36496	36918	2	15	15
36509	37147	1	16	16
37464	38972	1	17	17
38696	39046	2	18	18
39259	41901	1	19	19
42177	42719	1	20	20
42881	45022	2	21	21
45899	48250	1	22	22
48564	51707	1	23	23
51855	52595	2	24	24
52801	54789	2	25	25
54584	54913	1	26	26
54989	56857	2	27	27
57029	57385	2	28	28
57488	57796	2	29	29
57518	57850	1	30	30
57950	58462	2	31	31
58695	61052	2	32	32
61231	61608	2	33	33
61316	62563	1	34	34
62840	65404	1	35	35
65778	67520	2	36	36
68716	69525	2	37	37
71786	73288	1	38	38
72326	73300	2	39	39
73426	73518	2	40	40
74020	74823	1	41	41
75043	76152	2	42	42
76427	79435	1	43	43
79489	79842	2	44	44
79718	80587	1	45	45
80710	81951	2	46	46
82706	83227	1	47	47
83335	84474	2	48	48
84669	84977	1	49	49
84749	87031	2	50	50
87286	87387	1	51	51
87501	87752	1	51	51
87855	92270	2	52	52
92900	94486	1	53	53
94687	95472	1	54	54
95386	95823	2	55	55
95630	99697	2	56	56
99305	99868	1	57	57
100225	101145	2	58	58
101565	105872	2	59	59
106272	108551	2	60	60
108877	110430	2	61	61
110846	113359	2	62	62
113614	114615	2	63	63
114250	114819	1	64	64
114919	118314	1	65	65
118564	119541	2	66	66
120225	124295	1	67	67
124307	124492	2	68	68
124755	125069	2	69	69
124879	126786	1	70	70
126903	128102	2	71	71
128252	129019	2	72	72
129270	130532	1	73	73
130801	131985	1	74	74
132201	134078	1	75	75
134185	135666	2	76	76
135855	136634	1	77	77
136915	137511	1	78	78
137699	138346	2	79	79
139153	139188	1	80	80
139220	139255	1	80	80
139504	141432	2	81	81
140761	141408	1	82	82
142175	142254	1	83	83
142368	142469	1	84	84
142621	143161	1	83	83
143708	147532	1	85	85
147595	151007	2	86	86
151098	151167	2	86	86
152258	153877	1	87	87
154066	154725	2	88	88
155006	156286	1	89	89
156755	158620	2	90	90
158966	159793	1	91	91
160597	164187	2	92	92
164544	165866	2	93	93
166267	166339	1	94	94
166742	168865	2	95	95
169369	170289	1	96	96
170390	171697	2	97	97
172208	175132	2	98	98
174995	175339	1	99	99
176853	177020	2	100	100
179278	179817	2	101	101
181134	181171	1	102	102
181204	181247	1	102	102
182515	182596	2	103	103
183763	184470	1	104	104
184885	185589	1	105	105
186314	186538	1	106	106
186505	186846	2	107	107
186829	187725	1	108	108
188100	188804	1	109	109
190186	192249	1	110	110
192330	192410	2	111	111
192612	196178	1	112	112
201459	201779	2	113	113
203393	208006	1	114	114
208357	208653	1	115	115
217147	217482	2	116	116
218130	218333	1	117	117
218539	219135	1	118	118
220188	220487	1	119	119
221039	221650	1	120	120
222396	222881	1	121	121
224001	224294	2	122	122
224553	224852	2	123	123
225450	226853	1	124	124
227732	228943	1	125	125
228834	229307	1	126	126
