127
YAL069W	334	648	648	1	1	0	0
YAL068W-A	537	791	648	1	1	1	1
YAL068C	1806	2168	791	2	1	2	2
YAL067W-A	2479	2706	2168	1	1	3	3
YAL067C	7235	9016	2706	2	1	4	4
YAL066W	10091	10399	9016	1	1	5	5
YAL065C	11565	11951	10399	2	1	6	6
YAL064W-B	12046	12426	11951	1	1	7	7
YAL064C-A	13363	13743	12426	2	1	8	8
YAL064W	21525	21851	13743	1	1	9	9
YAL063C-A	22396	22686	21851	2	1	10	10
YAL063C	24000	27968	22686	2	1	11	11
YAL062W	31567	32940	27968	1	1	12	12
YAL061W	33448	34701	32940	1	1	13	13
YAL060W	35155	36303	34701	1	1	14	14
YAL059C-A	36496	36918	36303	2	1	15	15
YAL059W	36509	37147	36918	1	1	16	16
YAL058W	37464	38972	37147	1	1	17	17
YAL056C-A	38696	39046	38972	2	1	18	18
YAL056W	39259	41901	39046	1	1	19	19
YAL055W	42177	42719	41901	1	1	20	20
YAL054C	42881	45022	42719	2	1	21	21
YAL053W	45899	48250	45022	1	1	22	22
YAL051W	48564	51707	48250	1	1	23	23
YAL049C	51855	52595	51707	2	1	24	24
YAL048C	52801	54789	52595	2	1	25	25
YAL047W-A	54584	54913	54789	1	1	26	26
YAL047C	54989	56857	54913	2	1	27	27
YAL046C	57029	57385	56857	2	1	28	28
YAL045C	57488	57796	57385	2	1	29	29
YAL044W-A	57518	57850	57796	1	1	30	30
YAL044C	57950	58462	57850	2	1	31	31
YAL043C	58695	61052	58462	2	1	32	32
YAL042C-A	61231	61608	61052	2	1	33	33
YAL042W	61316	62563	61608	1	1	34	34
YAL041W	62840	65404	62563	1	1	35	35
YAL040C	65778	67520	65404	2	1	36	36
YAL039C	68716	69525	67520	2	1	37	37
YAL038W	71786	73288	69525	1	1	38	38
YAL037C-B	72326	73300	73288	2	1	39	39
YAL037C-A	73426	73518	73300	2	1	40	40
YAL037W	74020	74823	73518	1	1	41	41
YAL036C	75043	76152	74823	2	1	42	42
YAL035W	76427	79435	76152	1	1	43	43
YAL034C-B	79489	79842	79435	2	1	44	44
YAL034W-A	79718	80587	79842	1	1	45	45
YAL034C	80710	81951	80587	2	1	46	46
YAL033W	82706	83227	81951	1	1	47	47
YAL032C	83335	84474	83227	2	1	48	48
YAL031W-A	84669	84977	84474	1	1	49	49
YAL031C	84749	87031	84977	2	1	50	50
YAL030W	87286	87752	87031	1	2	51	51
YAL029C	87855	92270	87752	2	1	53	52
YAL028W	92900	94486	92270	1	1	54	53
YAL027W	94687	95472	94486	1	1	55	54
YAL026C-A	95386	95823	95472	2	1	56	55
YAL026C	95630	99697	95823	2	1	57	56
HRA1	99305	99868	99697	1	1	58	57
YAL025C	100225	101145	99868	2	1	59	58
YAL024C	101565	105872	101145	2	1	60	59
YAL023C	106272	108551	105872	2	1	61	60
YAL022C	108877	110430	108551	2	1	62	61
YAL021C	110846	113359	110430	2	1	63	62
YAL020C	113614	114615	113359	2	1	64	63
YAL019W-A	114250	114819	114615	1	1	65	64
YAL019W	114919	118314	114819	1	1	66	65
YAL018C	118564	119541	118314	2	1	67	66
YAL017W	120225	124295	119541	1	1	68	67
YAL016C-B	124307	124492	124295	2	1	69	68
YAL016C-A	124755	125069	124492	2	1	70	69
YAL016W	124879	126786	125069	1	1	71	70
YAL015C	126903	128102	126786	2	1	72	71
YAL014C	128252	129019	128102	2	1	73	72
YAL013W	129270	130532	129019	1	1	74	73
YAL012W	130801	131985	130532	1	1	75	74
YAL011W	132201	134078	131985	1	1	76	75
YAL010C	134185	135666	134078	2	1	77	76
YAL009W	135855	136634	135666	1	1	78	77
YAL008W	136915	137511	136634	1	1	79	78
YAL007C	137699	138346	137511	2	1	80	79
tP(UGG)A	139153	139255	138346	1	2	81	80
YAL005C	139504	141432	139255	2	1	83	81
YAL004W	140761	141408	141432	1	1	84	82
YAL003W	142175	143161	141432	1	2	85	83
snR18	142368	142469	143161	1	1	87	84
YAL002W	143708	147532	143161	1	1	88	85
YAL001C	147595	151167	147532	2	2	89	86
YAR002W	152258	153877	151167	1	1	91	87
YAR002C-A	154066	154725	153877	2	1	92	88
YAR003W	155006	156286	154725	1	1	93	89
YAR007C	156755	158620	156286	2	1	94	90
YAR008W	158966	159793	158620	1	1	95	91
YAR009C	160597	164187	159793	2	1	96	92
YAR010C	164544	165866	164187	2	1	97	93
tA(UGC)A	166267	166339	165866	1	1	98	94
